Title,URL,Summary
"Inside Anthropic’s First Developer Day, Where AI Agents Took Center Stage",https://www.wired.com/story/anthropic-first-developer-conference/,Anthropic CEO Dario Amodei said everything human workers do now will eventually be done by AI systems.
Let's Talk About ChatGPT and Cheating in the Classroom,https://www.wired.com/story/uncanny-valley-podcast-chatgpt-cheating-in-the-classroom/,"Today on ""Uncanny Valley,"" we address one of the most pressing questions in education right now: What constitutes cheating at school in today’s world of AI?"
A United Arab Emirates Lab Announces Frontier AI Projects—and a New Outpost in Silicon Valley,https://www.wired.com/story/the-united-arab-emirates-announces-frontier-ai-projects-and-a-new-lab-in-silicon-valley/,"As Donald Trump pens deals in the Middle East, the gulf nation opens a research lab in San Francisco."
Elon Musk’s Grok AI Can’t Stop Talking About ‘White Genocide’,https://www.wired.com/story/grok-white-genocide-elon-musk/,"In response to X user queries about everything from sports to Medicaid cuts, the xAI chatbot inserted unrelated information about “white genocide” in South Africa."
A Judge Says Meta’s AI Copyright Case Is About ‘the Next Taylor Swift’,https://www.wired.com/story/meta-lawsuit-copyright-hearing-artificial-intelligence/,Meta’s contentious AI copyright battle is heating up—and the court may be close to a ruling.
"No, Graduates: AI Hasn't Ended Your Career Before It Starts",https://www.wired.com/story/plaintext-commencement-speech-artificial-intelligence/,"In a commencement speech at Temple University, I shared my views on how new college graduates can compete with powerful artificial intelligence."
"If Paramount Settles Trump's60 MinutesClaim, It May Face Another Lawsuit",https://www.wired.com/story/freedom-of-the-press-foundation-paramount-trump-settlement/,"As Paramount considers settling a lawsuit with Donald Trump over a ""60 Minutes"" interview, the Freedom of the Press Foundation warns that it will sue over a deal that allegedly “could amount to a bribe.”"
Startup Founder Claims Elon Musk Is Stealing the Name ‘Grok’,https://www.wired.com/story/grok-trademark-dispute-name/,"Elon Musk said he borrowed the name from a 1960s science fiction novel, but another AI startup applied to trademark it before xAI launched its chatbot."
Politico’s Newsroom Is Starting a Legal Battle With Management Over AI,https://www.wired.com/story/politico-workers-axel-springer-artificial-intelligence/,Politico has rules about AI in the newsroom. Staffers say those rules have been violated—and they’re gearing up for a fight.
Who’s to Blame When AI Agents Screw Up?,https://www.wired.com/story/ai-agents-legal-liability-issues/,"As Google and Microsoft push agentic AI systems, the kinks are still being worked on how agents interact with each other—and intersect with the law."
OpenAI's Big Bet That Jony Ive Can Make AI Hardware Work,https://www.wired.com/story/jony-ive-open-ai-hardware-io/,"Io, a firm Ive and Sam Altman cocreated, will now merge with OpenAI."
Jack Dorsey's Block Made an AI Agent to Boost Its Own Productivity,https://www.wired.com/story/jack-dorseys-block-made-an-ai-agent-to-boost-its-own-productivity/,Jack Dorsey’s company went all-in on agents by deploying one capable of building software—and occasionally deleting stuff.
The Time Sam Altman Asked for a Countersurveillance Audit of OpenAI,https://www.wired.com/story/empire-of-ai-excerpt-sam-altman-elon-musk/,"In her new book “Empire of AI,” journalist Karen Hao chronicles the anxieties around the OpenAI office in its early days."
Google’s AI Boss Says Gemini's New Abilities Point the Way to AGI,https://www.wired.com/story/googles-ai-boss-says-geminis-new-abilities-point-the-way-to-agi/,"Google’s AI models are learning to reason, wield agency, and build virtual models of the real world. The company’s AI lead, Demis Hassabis, says all this—and more—will be needed for true AGI."
How Peter Thiel’s Relationship With Eliezer Yudkowsky Launched the AI Revolution,https://www.wired.com/story/book-excerpt-the-optimist-open-ai-sam-altman/,"The AI doomer and the AI boomer both created each other's monsters. An excerpt from ""The Optimist: Sam Altman, OpenAI, and the Race to Invent the Future."""
‘A Billion Streams and No Fans’: Inside a $10 Million AI Music Fraud Case,https://www.wired.com/story/ai-bots-streaming-music/,A chart-topping jazz album! Loads of Spotify and Apple Music plays! Just one problem: The success might not be real.
"OpenAI Launches an Agentic, Web-Based Coding Tool",https://www.wired.com/story/openai-launches-an-agentic-web-based-coding-tool/,"As vibe coding takes off, OpenAI says Codex will help advanced developers automate chores in a safe and explainable way."
The Middle East Has Entered the AI Group Chat,https://www.wired.com/story/trump-middle-east-artificial-intelligence-investments/,The UAE and Saudi Arabia are investing billions in US AI infrastructure. The deals could help the US in the AI race against China.
Google DeepMind’s AI Agent Dreams Up Algorithms Beyond Human Expertise,https://www.wired.com/story/google-deepminds-ai-agent-dreams-up-algorithms-beyond-human-expertise/,"A new system that combines Gemini’s coding abilities with an evolutionary approach improves data center scheduling and chip design, and fine-tunes large language models."
Airbnb Is in Midlife Crisis Mode,https://www.wired.com/story/airbnb-is-in-midlife-crisis-mode-reinvention-app-services/,Airbnb's CEO is spending hundreds of millions to relaunch his travel company as an all-purpose service app. Fitness! Food! Microdermabrasion? A WIRED exclusive.
